PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,total_spend,group,is_alone,deck,Name_length,nl_short,has_spent,RoomServiceBin,FoodCourtBin,ShoppingMallBin,SpaBin,VRDeckBin,places_spent,total_spend_log,RoomServiceLog,FoodCourtLog,ShoppingMallLog,SpaLog,VRDeckLog,AgeBin
0001_01,0,0,B/0/P,0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False,0.0,0001,1,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3
0002_01,1,0,F/0/S,0,24.0,0.0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,True,736.0,0002,1,5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2,2,0,1,2,1,1
0003_01,0,0,A/0/S,0,58.0,1.0,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,False,10383.0,0003,0,0,13.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4,1,3,0,3,1,3
0003_02,0,0,A/0/S,0,33.0,0.0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,False,5176.0,0003,0,0,12.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,3,0,3,2,3,2,2
0004_01,1,0,F/1/S,0,16.0,0.0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,True,1091.0,0004,1,5,17.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3,2,1,2,2,0,0
0005_01,1,0,F/0/P,1,44.0,0.0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,True,774.0,0005,1,5,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2,0,2,0,2,0,3
0006_01,1,0,F/2/S,0,26.0,0.0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,True,1584.0,0006,0,5,18.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3,1,3,0,0,0,1
0006_02,1,1,G/0/S,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True,0.0,0006,0,6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2
0007_01,1,0,F/3/S,0,35.0,0.0,0.0,785.0,17.0,216.0,0.0,Andona Beston,True,1018.0,0007,1,5,13.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3,0,2,1,2,0,2
0008_01,0,1,B/1/P,2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True,0.0,0008,0,1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
